#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -1.43865
23    19    -0.11127 
23    20    -0.00005 
23    21    -0.19786 
23    22    -0.00389 
23    23    0.23572 
23    24    -0.00007 
23    25    -0.30341 
23    26    0.15843 
23    27    0.14631 
23    28    -0.30314 
23    29    0.15657 
23    30    0.14558 
MO:24   0.16901
24    1    -0.00891 
24    2    0.23210 
24    3    -0.13499 
24    4    0.00022 
24    5    -0.35127 
24    6    -0.11788 
24    7    -0.07498 
24    8    -0.00030 
24    9    0.36035 
24    10    -0.00656 
24    11    -0.12910 
24    12    0.00004 
24    13    -0.00925 
24    14    -0.23304 
24    15    0.13415 
24    16    -0.00018 
24    17    -0.35160 
24    18    0.11774 
24    19    0.07426 
24    20    -0.00004 
24    21    0.36041 
24    22    0.00586 
24    23    0.12898 
24    24    -0.00023 
24    25    0.00594 
24    26    0.25924 
24    27    -0.26562 
24    28    0.00736 
24    29    0.26002 
24    30    -0.26634 
MO:25   0.18827
25    1    -0.09750 
25    2    -0.16397 
25    3    -0.39986 
25    4    0.00021 
25    5    0.01543 
25    6    -0.16681 
25    7    -0.02063 
25    8    -0.00002 
25    9    0.08275 
25    10    -0.36184 
25    11    0.09733 
25    12    -0.00032 
25    13    -0.09776 
25    14    0.16342 
25    15    0.39989 
25    16    -0.00014 
25    17    0.01481 
25    18    0.16724 
25    19    0.01978 
25    20    -0.00000 
25    21    0.08234 
25    22    0.36231 
25    23    -0.09687 
25    24    0.00008 
25    25    -0.27140 
25    26    0.04115 
25    27    0.22902 
25    28    -0.27098 
25    29    0.04238 
25    30    0.22970 
MO:26   0.18828
26    1    0.03924 
26    2    0.21157 
26    3    0.07484 
26    4    -0.00009 
26    5    -0.10437 
26    6    0.20889 
26    7    -0.40618 
26    8    0.00033 
26    9    0.06489 
26    10    -0.28574 
26    11    -0.12293 
26    12    -0.00018 
26    13    0.03868 
26    14    -0.21159 
26    15    -0.07582 
26    16    -0.00001 
26    17    -0.10436 
26    18    -0.20833 
26    19    0.40638 
26    20    -0.00043 
26    21    0.06554 
26    22    0.28508 
26    23    0.12312 
26    24    -0.00005 
26    25    0.10783 
26    26    -0.28873 
26    27    0.18117 
26    28    0.10891 
26    29    -0.28861 
26    30    0.18019 
MO:27   0.20624
27    1    -0.08871 
27    2    0.37946 
27    3    -0.18942 
27    4    0.00016 
27    5    -0.26871 
27    6    0.03425 
27    7    0.11272 
27    8    -0.00027 
27    9    -0.18009 
27    10    -0.05401 
