#  MO coefficient (i_MO, j_AO, M_ij)    
MO:1   -9.79375
27    19    0.35235 
27    20    0.00003 
27    21    -0.00094 
27    22    0.00604 
27    23    0.24379 
27    24    0.16460 
27    25    -0.00013 
27    26    0.02808 
27    27    -0.17786 
27    28    0.46630 
27    29    0.15664 
27    30    -0.00007 
27    31    0.58098 
27    32    0.02472 
27    33    -0.55700 
27    34    -0.58087 
27    35    -0.02365 
27    36    0.55683 
MO:28   0.37927
28    1    0.11902 
28    2    -0.72689 
28    3    0.03856 
28    4    0.06744 
28    5    -0.00014 
28    6    -0.11941 
28    7    0.72931 
28    8    0.03997 
28    9    -0.06636 
28    10    0.00052 
28    11    0.12024 
28    12    -0.73451 
28    13    -0.07762 
28    14    -0.00217 
28    15    -0.00017 
28    16    -0.12070 
28    17    0.73740 
28    18    0.03928 
28    19    0.06734 
28    20    0.00021 
28    21    0.12019 
28    22    -0.73419 
28    23    0.03727 
28    24    -0.06793 
28    25    -0.00005 
28    26    -0.11940 
28    27    0.72927 
28    28    -0.07772 
28    29    0.00200 
28    30    -0.00006 
28    31    0.45006 
28    32    -0.45099 
28    33    0.45367 
28    34    -0.45534 
28    35    0.45330 
28    36    -0.45126 
MO:29   0.39383
29    1    -0.16282 
29    2    1.02856 
29    3    -0.01981 
29    4    -0.00800 
29    5    -0.00000 
29    6    0.07731 
29    7    -0.48839 
29    8    0.31222 
29    9    0.19082 
29    10    -0.00031 
29    11    0.08520 
29    12    -0.53834 
29    13    -0.00906 
29    14    -0.35291 
29    15    0.00030 
29    16    -0.16168 
29    17    1.02149 
29    18    0.02037 
29    19    0.00697 
29    20    0.00021 
29    21    0.07579 
29    22    -0.47885 
29    23    -0.31344 
29    24    -0.18854 
29    25    -0.00008 
29    26    0.08621 
29    27    -0.54451 
29    28    0.00844 
29    29    0.35202 
29    30    -0.00008 
29    31    -0.50354 
29    32    0.24022 
29    33    0.26354 
29    34    -0.49931 
29    35    0.23297 
29    36    0.26618 
MO:30   0.39389
30    1    0.00542 
30    2    -0.03427 
30    3    -0.35802 
30    4    0.20858 
30    5    -0.00035 
30    6    -0.14307 
30    7    0.90388 
30    8    0.17652 
30    9    0.08486 
30    10    0.00055 
30    11    0.13782 
30    12    -0.87071 
30    13    -0.01354 
30    14    0.21822 
30    15    -0.00011 
30    16    0.00512 
30    17    -0.03233 
30    18    0.35958 
30    19    -0.20743 
30    20    0.00025 
30    21    -0.14323 
30    22    0.90489 
30    23    -0.17716 
30    24    -0.08454 
30    25    0.00007 
30    26    0.13790 
30    27    -0.87128 
30    28    0.01479 
30    29    -0.21934 
30    30    0.00038 
30    31    0.01771 
30    32    -0.44224 
30    33    0.42543 
30    34    0.01511 
30    35    -0.44321 
30    36    0.42688 
MO:31   0.50921
31    1    0.03853 
31    2    -0.26906 
31    3    -0.30469 
31    4    -0.69506 
31    5    0.00035 
31    6    -0.00754 
31    7    0.05260 
31    8    -0.28047 
31    9    -0.01742 
31    10    -0.00004 
31    11    -0.03301 
31    12    0.23040 
31    13    -0.62685 
31    14    0.16712 
31    15    -0.00054 
31    16    0.03936 
31    17    -0.27480 
31    18    0.29117 
31    19    0.70209 
31    20    -0.00025 
31    21    -0.00557 
31    22    0.03892 
31    23    0.28022 
31    24    0.01422 
31    25    0.00003 
31    26    -0.03179 
31    27    0.22202 
31    28    0.62799 
31    29    -0.15367 
31    30    0.00011 
31    31    -0.47524 
31    32    0.07592 
31    33    0.39245 
31    34    -0.47257 
31    35    0.08292 
31    36    0.39642 
MO:32   0.50929
32    1    -0.01578 
32    2    0.11012 
32    3    0.35297 
32    4    0.12910 
32    5    -0.00012 
32    6    0.04122 
32    7    -0.28787 
32    8    0.37100 
32    9    -0.70685 
32    10    0.00054 
32    11    -0.02553 
32    12    0.17836 
32    13    -0.50924 
32    14    -0.19323 
32    15    -0.00030 
32    16    -0.01411 
32    17    0.09858 
32    18    -0.34799 
32    19    -0.13441 
32    20    -0.00002 
32    21    0.04138 
32    22    -0.28896 
32    23    -0.35746 
32    24    0.71427 
32    25    -0.00077 
32    26    -0.02710 
32    27    0.18918 
32    28    0.50768 
32    29    0.20184 
32    30    -0.00010 
32    31    0.17901 
32    32    -0.50128 
